# file...... iec_agglin_sweep_out.csv
# date...... Mon Apr 21 03:26:45 2014
# user...... noah
# host...... (null)
# target.... windclass 6
# trigger... (none)
# interval.. 60
# limit..... 20000
# timestamp,power_out
2004-01-01 02:02:00 UTC,+48.5603015825
2004-01-01 02:03:00 UTC,+48.9326275001
2004-01-01 02:04:00 UTC,+49.3041840282
2004-01-01 02:05:00 UTC,+49.6749727566
2004-01-01 02:06:00 UTC,+50.044995272
2004-01-01 02:07:00 UTC,+50.4142531577
2004-01-01 02:08:00 UTC,+50.7401698007
2004-01-01 02:09:00 UTC,+51.0539810731
2004-01-01 02:10:00 UTC,+51.3573382929
2004-01-01 02:11:00 UTC,+51.6600686428
2004-01-01 02:12:00 UTC,+51.9621734184
2004-01-01 02:13:00 UTC,+52.2636539122
2004-01-01 02:14:00 UTC,+52.5645114144
2004-01-01 02:15:00 UTC,+52.8647472124
2004-01-01 02:16:00 UTC,+53.1643625907
2004-01-01 02:17:00 UTC,+53.4633588316
2004-01-01 02:18:00 UTC,+53.7617372144
2004-01-01 02:19:00 UTC,+54.0781712625
2004-01-01 02:20:00 UTC,+54.3867019219
2004-01-01 02:21:00 UTC,+54.694595021
2004-01-01 02:22:00 UTC,+55.0018518771
2004-01-01 02:23:00 UTC,+55.3060189035
2004-01-01 02:24:00 UTC,+55.6053139084
2004-01-01 02:25:00 UTC,+55.9039904378
2004-01-01 02:26:00 UTC,+56.2020497698
2004-01-01 02:27:00 UTC,+56.4994931798
2004-01-01 02:28:00 UTC,+56.7963219405
2004-01-01 02:29:00 UTC,+57.0925373222
2004-01-01 02:30:00 UTC,+57.3807379611
2004-01-01 02:31:00 UTC,+57.6683430504
2004-01-01 02:32:00 UTC,+57.9553538208
2004-01-01 02:33:00 UTC,+58.2417715003
2004-01-01 02:34:00 UTC,+58.5275973146
2004-01-01 02:35:00 UTC,+58.8959268549
2004-01-01 02:36:00 UTC,+59.3180408928
2004-01-01 02:37:00 UTC,+59.739282657
2004-01-01 02:38:00 UTC,+60.15965395
2004-01-01 02:39:00 UTC,+60.5791565705
2004-01-01 02:40:00 UTC,+60.9863923986
2004-01-01 02:41:00 UTC,+61.3927866978
2004-01-01 02:42:00 UTC,+61.7983412072
2004-01-01 02:43:00 UTC,+62.2030576622
2004-01-01 02:44:00 UTC,+62.6069377944
2004-01-01 02:45:00 UTC,+63.0099833323
2004-01-01 02:46:00 UTC,+63.4121960003
2004-01-01 02:47:00 UTC,+63.8135775195
2004-01-01 02:48:00 UTC,+64.2141296076
2004-01-01 02:49:00 UTC,+64.6138539784
2004-01-01 02:50:00 UTC,+65.0021968654
2004-01-01 02:51:00 UTC,+65.3897372649
2004-01-01 02:52:00 UTC,+65.7764768349
2004-01-01 02:53:00 UTC,+66.5283392168
2004-01-01 02:54:00 UTC,+67.2939922906
2004-01-01 02:55:00 UTC,+68.0580631876
2004-01-01 02:56:00 UTC,+68.8205551771
2004-01-01 02:57:00 UTC,+69.581471522
2004-01-01 02:58:00 UTC,+70.3408154781
2004-01-01 02:59:00 UTC,+71.0985902948
