# file...... iec_agglog_sweep_out.csv
# date...... Mon Apr 21 03:26:45 2014
# user...... noah
# host...... (null)
# target.... windclass 8
# trigger... (none)
# interval.. 60
# limit..... 20000
# timestamp,power_out
2004-01-01 02:03:00 UTC,+23.1306902571
2004-01-01 02:04:00 UTC,+23.6914139892
2004-01-01 02:05:00 UTC,+24.2588098743
2004-01-01 02:06:00 UTC,+24.8328897926
2004-01-01 02:07:00 UTC,+25.4136651816
2004-01-01 02:08:00 UTC,+26.0011470393
2004-01-01 02:09:00 UTC,+26.5953459286
2004-01-01 02:10:00 UTC,+27.177335035
2004-01-01 02:11:00 UTC,+27.765606658
2004-01-01 02:12:00 UTC,+28.3601679409
2004-01-01 02:13:00 UTC,+28.9610256508
2004-01-01 02:14:00 UTC,+29.5681861812
2004-01-01 02:15:00 UTC,+30.1816555561
2004-01-01 02:16:00 UTC,+30.8014394326
2004-01-01 02:17:00 UTC,+31.4275431048
2004-01-01 02:18:00 UTC,+32.0599715068
2004-01-01 02:19:00 UTC,+32.698729216
2004-01-01 02:20:00 UTC,+33.325383605
2004-01-01 02:21:00 UTC,+33.9579824632
2004-01-01 02:22:00 UTC,+34.5965279069
2004-01-01 02:23:00 UTC,+35.2410217419
2004-01-01 02:24:00 UTC,+35.8914654669
2004-01-01 02:25:00 UTC,+36.5478602758
2004-01-01 02:26:00 UTC,+37.210207061
2004-01-01 02:27:00 UTC,+37.8785064159
2004-01-01 02:28:00 UTC,+38.5527586379
2004-01-01 02:29:00 UTC,+39.2329637311
2004-01-01 02:30:00 UTC,+39.9018482646
2004-01-01 02:31:00 UTC,+40.5763550012
2004-01-01 02:32:00 UTC,+41.2564822044
2004-01-01 02:33:00 UTC,+41.9422278802
2004-01-01 02:34:00 UTC,+42.6335897801
2004-01-01 02:35:00 UTC,+43.3305654031
2004-01-01 02:36:00 UTC,+44.0331519985
2004-01-01 02:37:00 UTC,+44.741346568
2004-01-01 02:38:00 UTC,+45.4551458684
2004-01-01 02:39:00 UTC,+46.1745464138
2004-01-01 02:40:00 UTC,+46.8797079247
2004-01-01 02:41:00 UTC,+47.5901220598
2004-01-01 02:42:00 UTC,+48.3057839876
2004-01-01 02:43:00 UTC,+49.0266886664
2004-01-01 02:44:00 UTC,+49.7528308464
2004-01-01 02:45:00 UTC,+50.4842050718
2004-01-01 02:46:00 UTC,+51.2208056829
2004-01-01 02:47:00 UTC,+51.9626268179
2004-01-01 02:48:00 UTC,+52.7096624151
2004-01-01 02:49:00 UTC,+53.4619062146
2004-01-01 02:50:00 UTC,+54.1992213558
2004-01-01 02:51:00 UTC,+54.9414193465
2004-01-01 02:52:00 UTC,+55.6884929919
2004-01-01 02:53:00 UTC,+56.4404349259
2004-01-01 02:54:00 UTC,+57.1972376129
2004-01-01 02:55:00 UTC,+57.9588933497
2004-01-01 02:56:00 UTC,+58.725394267
2004-01-01 02:57:00 UTC,+59.4967323311
