#Wind Turbine Test Standard Weather File
$state_name=USA
$city_name=Anytown
$lat_deg=12
$lat_min=34
$long_deg=12
$long_min=34
$timezone_offset=0
temperature,wind_speed,pressure
#month:day:hour:minute:second
02:04:20:31:59,32,11.191,1000
02:04:20:41:59,32,9.726,1000
02:04:21:08:06,32,10.513,1000
02:04:21:18:06,32,9.728,1000
02:04:21:28:06,32,8.365,1000
03:02:00:50:06,32,10.710,1000
03:02:01:00:06,32,9.571,1000
03:02:01:10:06,32,8.562,1000
03:02:01:20:06,32,7.628,1000
03:02:01:30:06,32,7.649,1000
03:02:01:40:06,32,7.151,1000
03:02:01:50:06,32,7.529,1000
03:02:02:00:06,32,7.592,1000
03:02:02:10:06,32,8.165,1000
03:02:02:20:06,32,8.108,1000
03:02:02:30:06,32,7.532,1000
03:02:02:40:06,32,7.627,1000
03:02:02:50:06,32,7.226,1000
03:02:03:00:06,32,8.438,1000
03:02:03:10:06,32,7.876,1000
03:02:03:20:06,32,7.452,1000
03:02:03:30:06,32,7.438,1000
03:02:03:40:06,32,7.944,1000
03:02:03:50:06,32,7.633,1000
03:02:04:00:06,32,7.791,1000
03:02:04:10:06,32,7.727,1000
03:02:04:20:06,32,8.502,1000
03:02:04:30:06,32,7.416,1000
03:02:04:40:06,32,7.679,1000
03:02:04:50:06,32,7.487,1000
03:02:05:00:06,32,7.943,1000
03:02:05:10:06,32,9.255,1000
03:02:05:20:06,32,8.854,1000
03:02:05:30:06,32,9.239,1000
03:02:05:40:06,32,8.026,1000
03:02:05:50:06,32,6.792,1000
03:02:06:12:48,32,6.452,1000
03:02:06:48:49,32,9.429,1000
03:02:06:58:49,32,9.361,1000
03:02:07:08:49,32,10.072,1000
03:02:07:18:49,32,10.133,1000
03:02:07:28:49,32,9.685,1000
03:02:07:38:49,32,10.047,1000
03:02:07:48:49,32,8.603,1000
03:02:07:58:49,32,9.679,1000
03:02:08:08:49,32,10.518,1000
03:02:08:18:49,32,9.684,1000
03:02:08:28:49,32,8.223,1000
03:02:08:38:49,32,8.589,1000
03:02:08:48:49,32,7.889,1000
03:02:08:58:49,32,8.452,1000
03:02:09:08:49,32,9.272,1000
03:02:09:18:49,32,9.557,1000
03:02:09:28:49,32,8.153,1000
03:02:09:38:49,32,7.846,1000
03:02:09:48:49,32,8.456,1000
03:02:09:58:49,32,8.658,1000
03:02:10:08:49,32,8.121,1000
03:02:10:18:49,32,7.982,1000
03:02:10:28:49,32,9.411,1000
03:02:10:38:49,32,10.008,1000
03:02:10:48:49,32,8.382,1000
03:02:10:58:49,32,8.338,1000
03:02:11:08:49,32,7.447,1000
03:02:11:18:49,32,7.307,1000
03:02:11:28:49,32,6.990,1000
03:02:11:38:49,32,7.466,1000
03:02:11:48:49,32,6.886,1000
03:02:11:58:49,32,6.065,1000
03:02:12:08:49,32,7.500,1000
03:02:12:18:49,32,6.461,1000
03:02:22:59:30,32,8.681,1000
03:02:23:09:30,32,6.572,1000
03:02:23:19:30,32,5.293,1000
03:02:23:29:30,32,5.668,1000
03:02:23:39:30,32,4.829,1000
03:02:23:49:30,32,6.752,1000
03:02:23:59:30,32,5.449,1000
03:03:00:18:17,32,4.635,1000
03:03:00:28:17,32,7.780,1000
03:03:00:38:17,32,10.092,1000
03:03:00:48:17,32,10.141,1000
07:25:20:35:02,32,5.479,1000
07:25:22:32:45,32,5.016,1000
07:25:22:42:45,32,5.551,1000
07:25:22:52:45,32,5.968,1000
07:25:23:02:45,32,4.866,1000
07:25:23:12:45,32,4.705,1000
10:04:18:54:41,32,6.188,1000
